Study_ID,Author,Year,Title,Journal,DOI_or_PMID,Etiology,Subtype,Congenital_or_Acquired,Side_deaf_or_lesion,Chronicity_months,Sample_Size_Patients,Sample_Size_Controls,Mean_Age_Patients,Sex_Ratio_Patients,Modality,Acquisition_Type,Scanner_FieldStrength_T,Analysis_Toolbox,Hedges_g_exact,Hedges_g_variance,CI_lower,CI_upper,P_value,Statistic_type,Statistic_value,Direction,ROI_Homogenized,Big_Area,Matter,Side,MNI_X,MNI_Y,MNI_Z,Measure,Network_Assignment,Study_Quality_Score,Extractor,Notes,Source_PDF_or_ZIP
Alhilali_2014_Cerebellum_LobuleVI,Alhilali,2014,Detection of Central White Matter Injury Underlying Vestibulopathy after Mild Traumatic Brain Injury,Radiology,10.1148/radiol.14132670,Mild traumatic brain injury with vestibular symptoms,NA,Acquired,NA,NA,30,39,17.6,24M/6F,DTI,Diffusion,1.5,FSL TBSS,NA,NA,NA,NA,p < 0.05,NA,NA,↓ Patients < Controls,Cerebellum Lobule VI,Cerebellum,White,Bilateral,NA,NA,NA,FA,Vestibular,NA,NA,Voxel-wise FA reduction in cerebellar lobule VI; whole-brain TBSS; multiple-comparisons corrected.,"Alhilali et al., 2014.pdf"
Alhilali_2014_Vermis_VIII_IX,Alhilali,2014,Detection of Central White Matter Injury Underlying Vestibulopathy after Mild Traumatic Brain Injury,Radiology,10.1148/radiol.14132670,Mild traumatic brain injury with vestibular symptoms,NA,Acquired,NA,NA,30,39,17.6,24M/6F,DTI,Diffusion,1.5,FSL TBSS,NA,NA,NA,NA,p < 0.05,NA,NA,↓ Patients < Controls,Vermian Lobules VIIIa/VIIIb/IX,Cerebellum,White,Midline,NA,NA,NA,FA,Vestibular,NA,NA,TBSS cluster in vermis; FA reduction; multiple-comparisons corrected.,"Alhilali et al., 2014.pdf"
Alhilali_2014_Fusiform_Gyri,Alhilali,2014,Detection of Central White Matter Injury Underlying Vestibulopathy after Mild Traumatic Brain Injury,Radiology,10.1148/radiol.14132670,Mild traumatic brain injury with vestibular symptoms,NA,Acquired,NA,NA,30,39,17.6,24M/6F,DTI,Diffusion,1.5,FSL TBSS,NA,NA,NA,NA,p < 0.05,NA,NA,↓ Patients < Controls,Fusiform Gyrus,Temporal,White,Bilateral,NA,NA,NA,FA,Visual,NA,NA,White matter FA reduction in fusiform gyri; TBSS cluster; corrected.,"Alhilali et al., 2014.pdf"
Alhilali_2014_Vermis_MD_Increase,Alhilali,2014,Detection of Central White Matter Injury Underlying Vestibulopathy after Mild Traumatic Brain Injury,Radiology,10.1148/radiol.14132670,Mild traumatic brain injury with vestibular symptoms,NA,Acquired,NA,NA,30,39,17.6,24M/6F,DTI,Diffusion,1.5,FSL TBSS,NA,NA,NA,NA,p < 0.05,NA,NA,↑ Patients > Controls,Vermian Lobules II/III,Cerebellum,White,Midline,NA,NA,NA,Mean Diffusivity,Vestibular,NA,NA,Voxel-wise MD increase in vermian lobules II/III; TBSS cluster.,"Alhilali et al., 2014.pdf"
Behnke_2024_SLFL_VIn,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,NA,Acquired,NA,NA,23,37,NA,NA,MRI,Diffusion,3,FSL TBSS,NA,NA,NA,NA,PFWE < 0.05,NA,NA,↑ Patients > Controls,Superior longitudinal fasciculus,Parietal,White,L,NA,NA,NA,Intra-neurite volume fraction (VIn),Vestibular,NA,NA,TBSS cluster showing higher VIn in PCVD than controls,"Behnke et al., 2024.pdf"
Behnke_2024_SLFL_VIso,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,NA,Acquired,NA,NA,23,37,NA,NA,MRI,Diffusion,3,FSL TBSS,NA,NA,NA,NA,PFWE < 0.05,NA,NA,↑ Patients > Controls,Superior longitudinal fasciculus,Parietal,White,L,NA,NA,NA,Isotropic volume fraction (VIso),Vestibular,NA,NA,TBSS cluster showing higher VIso in PCVD than controls,"Behnke et al., 2024.pdf"
Behnke_2024_SCRL_VIn,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,NA,Acquired,NA,NA,23,37,NA,NA,MRI,Diffusion,3,FSL TBSS,NA,NA,NA,NA,PFWE < 0.05,NA,NA,↑ Patients > Controls,Superior corona radiata,Parietal,White,L,NA,NA,NA,Intra-neurite volume fraction (VIn),Vestibular,NA,NA,TBSS cluster showing higher VIn in PCVD than controls,"Behnke et al., 2024.pdf"
Behnke_2024_SCRL_VIso,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,NA,Acquired,NA,NA,23,37,NA,NA,MRI,Diffusion,3,FSL TBSS,NA,NA,NA,NA,PFWE < 0.05,NA,NA,↑ Patients > Controls,Superior corona radiata,Parietal,White,L,NA,NA,NA,Isotropic volume fraction (VIso),Vestibular,NA,NA,TBSS cluster showing higher VIso in PCVD than controls,"Behnke et al., 2024.pdf"
Behnke_2024_PCRL_VIn,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,NA,Acquired,NA,NA,23,37,NA,NA,MRI,Diffusion,3,FSL TBSS,NA,NA,NA,NA,PFWE < 0.05,NA,NA,↑ Patients > Controls,Posterior corona radiata,Parietal,White,L,NA,NA,NA,Intra-neurite volume fraction (VIn),Vestibular,NA,NA,TBSS cluster showing higher VIn in PCVD than controls,"Behnke et al., 2024.pdf"
Behnke_2024_PCRL_VIso,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,NA,Acquired,NA,NA,23,37,NA,NA,MRI,Diffusion,3,FSL TBSS,NA,NA,NA,NA,PFWE < 0.05,NA,NA,↑ Patients > Controls,Posterior corona radiata,Parietal,White,L,NA,NA,NA,Isotropic volume fraction (VIso),Vestibular,NA,NA,TBSS cluster showing higher VIso in PCVD than controls,"Behnke et al., 2024.pdf"
